short_name,long_name,Census Tract,2009-2013,2014-2018
hh_inc_med_adj,Median household income (2022$),36005022500,38693.81295627898,39823.79949276607
hh_inc_med_adj,Median household income (2022$),36005022701,38737.285080188296,35377.524471844496
hh_inc_med_adj,Median household income (2022$),36005022702,51870.69673679006,34383.544560208444
hh_inc_med_adj,Median household income (2022$),36005022703,51321.25739293627,52855.47682913013
hh_inc_med_adj,Median household income (2022$),36005022800,54340.154886638404,60902.52058353828
hh_inc_med_adj,Median household income (2022$),36005022901,28370.39108681517,32742.400988886897
hh_inc_med_adj,Median household income (2022$),36005022902,29887.085187651122,40306.62211803056
hh_inc_med_adj,Median household income (2022$),36005023000,62081.81561948815,47148.87608216605
hh_inc_med_adj,Median household income (2022$),36005023100,35003.512659977496,32148.506492082688
hh_inc_med_adj,Median household income (2022$),36005023200,58113.77675376607,61813.76328474168
hh_inc_med_adj,Median household income (2022$),36005032300,92036.5241109982,97942.7229691457
hh_inc_med_adj,Median household income (2022$),36005032400,33979.50263011373,21007.317744782395
hh_inc_med_adj,Median household income (2022$),36005032600,88342.60113770427,99419.52550604624
hh_inc_med_adj,Median household income (2022$),36005032800,38211.99691628412,37366.61768156087
hh_inc_med_adj,Median household income (2022$),36005033000,47982.356764901706,43094.75277096633
hh_inc_med_adj,Median household income (2022$),36005033201,55168.540358910264,51395.67508889384
hh_inc_med_adj,Median household income (2022$),36005033202,47698.58040049371,55919.02038802664
hh_inc_med_adj,Median household income (2022$),36005033400,54666.195815958235,
hh_inc_med_adj,Median household income (2022$),36005033500,103816.26213142392,114282.75533637137
hh_inc_med_adj,Median household income (2022$),36005033600,38151.61896641008,42148.375089990164
hh_inc_med_adj,Median household income (2022$),36005033700,93585.82230476613,105192.996053223
hh_inc_med_adj,Median household income (2022$),36005033800,51996.28287252806,45422.728527523286
hh_inc_med_adj,Median household income (2022$),36005034000,45723.013880615035,47195.344926381644
hh_inc_med_adj,Median household income (2022$),36005034200,51759.60130902182,70229.15763354175
hh_inc_med_adj,Median household income (2022$),36005034300,83313.11791319652,89071.70726974393
hh_inc_med_adj,Median household income (2022$),36005034400,106643.1577445266,67885.31446676484
hh_inc_med_adj,Median household income (2022$),36005034500,73139.43335942033,85003.98332121283
hh_inc_med_adj,Median household income (2022$),36005034800,43827.14625457009,45335.45777131351
hh_inc_med_adj,Median household income (2022$),36005035000,74264.87834507249,97223.0225770261
hh_inc_med_adj,Median household income (2022$),36005035100,85283.85419708527,98109.33077645527
hh_inc_med_adj,Median household income (2022$),36005035600,104090.37802385208,78094.85955686464
hh_inc_med_adj,Median household income (2022$),36005035800,74152.57535830676,91780.5008715799
hh_inc_med_adj,Median household income (2022$),36005035900,25056.849197727708,28890.020464769532
hh_inc_med_adj,Median household income (2022$),36005036000,101212.7649328552,80003.48232903694
hh_inc_med_adj,Median household income (2022$),36005036100,19370.453878590368,27463.086931417438
hh_inc_med_adj,Median household income (2022$),36005036300,25781.38459621622,22299.37829126483
hh_inc_med_adj,Median household income (2022$),36005036400,55324.3154695853,69217.04353879718
hh_inc_med_adj,Median household income (2022$),36005036501,26415.353069893667,28652.009311470134
hh_inc_med_adj,Median household income (2022$),36005036502,20497.106423240006,36147.09386751254
hh_inc_med_adj,Median household income (2022$),36005036700,25379.267450055097,35013.7074232297
